   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0122 : 1 Stanley2Cross  | offset -16.909  | angle -2.726  | speed_z -0.131  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0123 : 1 Stanley2Cross  | offset -17.776  | angle -3.202  | speed_z -0.118  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0124 : 1 Stanley2Cross  | offset -18.094  | angle -3.338  | speed_z -0.115  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0125 : 1 Stanley2Cross  | offset -17.505  | angle -3.406  | speed_z -0.105  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0126 : 1 Stanley2Cross  | offset -17.096  | angle -3.338  | speed_z -0.103  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0127 : 1 Stanley2Cross  | offset -16.777  | angle -3.202  | speed_z -0.105  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0128 : 1 Stanley2Cross  | offset -17.505  | angle -3.406  | speed_z -0.105  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0129 : 1 Stanley2Cross  | offset -14.732  | angle -2.862  | speed_z -0.095  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0130 : 1 Stanley2Cross  | offset -11.954  | angle -2.318  | speed_z -0.082  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0131 : 1 Stanley2Cross  | offset -9.584  | angle -1.841  | speed_z -0.070  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0132 : 1 Stanley2Cross  | offset -9.193  | angle -1.568  | speed_z -0.077  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0133 : 1 Stanley2Cross  | offset -9.532  | angle -1.500  | speed_z -0.086  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0134 : 1 Stanley2Cross  | offset -9.551  | angle -1.296  | speed_z -0.097  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0135 : 1 Stanley2Cross  | offset -9.301  | angle -1.296  | speed_z -0.093  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0136 : 1 Stanley2Cross  | offset -9.301  | angle -1.296  | speed_z -0.093  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0137 : 1 Stanley2Cross  | offset -7.070  | angle -1.091  | speed_z -0.067  | Cross position []  | time:  0.001  | [ battery: 48%, 11V / 300mA ]
0138 : 1 Stanley2Cross  | offset -6.178  | angle -0.818  | speed_z -0.066  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0139 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.084  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0140 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.083  | Cross position []  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0141 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.084  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0142 : 1 Stanley2Cross  | offset -5.875  | angle -0.477  | speed_z -0.078  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0143 : 1 Stanley2Cross  | offset -9.070  | angle -1.091  | speed_z -0.099  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0144 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.103  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0145 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.103  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0146 : 1 Stanley2Cross  | offset -9.178  | angle -0.818  | speed_z -0.114  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0147 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.103  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0148 : 1 Stanley2Cross  | offset -8.909  | angle -1.023  | speed_z -0.100  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0149 : 1 Stanley2Cross  | offset -7.678  | angle -0.818  | speed_z -0.090  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0150 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.084  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0151 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.084  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0152 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.083  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0153 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.083  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0154 : 1 Stanley2Cross  | offset -8.462  | angle -1.228  | speed_z -0.083  | Cross position [225]  | cross? 1.000  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0155 : 1 Stanley2Cross  | offset -7.452  | angle -0.818  | speed_z -0.087  | Cross position [235, 225]  | cross? 2.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0156 : 1 Stanley2Cross  | offset -5.000  | angle 0.000  | speed_z -0.087  | Cross position [245, 235, 225]  | cross? 3.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0157 : 2 Turn2Road  | phase 0.000  | radius 269.184  | rot_z 1.000  | SPEED_X 1.122  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0158 : 2 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0159 : 2 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0160 : 2 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0161 : 2 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0162 : 2 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0163 : 2 Turn2Road  | phase 1.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0164 : 2 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0165 : 2 Turn2Road  | phase 1.000  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0166 : 2 Turn2Road  | phase 1.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0167 : 2 Turn2Road  | phase 1.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0168 : 2 Turn2Road  | phase 1.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0169 : 2 Turn2Road  | phase 1.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0170 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0171 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0172 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0173 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0174 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0175 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0176 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0177 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0178 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0179 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0180 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0181 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0182 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0183 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0184 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0185 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0186 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
